home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Belgium,Japan,3,2.5,,2,0.7,,Roberto Martínez,Eden Hazard,Akira Nishino,Makoto Hasebe,Jan Vertonghen · 69|Marouane Fellaini · 74|Nacer Chadli · 90+4,Genki Haraguchi · 48|Takashi Inui · 52,41466,"Rostov Arena, Rostov-na-Donu",Malang Diédhiou (Referee) · Djibril Camara (AR1) · El Hadji Malick Samba (AR2) · Bakary Papa Gassama (4th) · Felix Zwayer (VAR),2018-07-02,3–2,Malang Diédhiou,,Round of 16,Russia,2018
Spain,Russia,1,1.8,3.0,1,1.0,4.0,Fernando Hierro,Sergio Ramos,Stanislav Cherchesov,Igor Akinfeev,Sergei Ignashevich (OG) · 12,Artem Dzyuba (P) · 42,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Clément Turpin (4th) · Danny Makkelie (VAR),2018-07-01,(3) 1–1 (4),Björn Kuipers,Russia won on penalty kicks following extra time,Round of 16,Russia,2018
Croatia,Denmark,1,2.5,3.0,1,0.9,2.0,Zlatko Dalić,Luka Modrić,Åge Hareide,Simon Kjær,Mario Mandžukić · 4,Mathias Jørgensen · 1,40851,"Stadion Nizhny Novgorod, Nizhny Novgorod",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Enrique Cáceres (4th) · Mauro Vigliano (VAR),2018-07-01,(3) 1–1 (2),Néstor Pitana,Croatia won on penalty kicks following extra time,Round of 16,Russia,2018
France,Argentina,4,2.2,,3,0.8,,Didier Deschamps,Hugo Lloris,Jorge Sampaoli,Lionel Messi,Antoine Griezmann (P) · 13|Benjamin Pavard · 57|Kylian Mbappé · 64|Kylian Mbappé · 68,Ángel Di María · 41|Gabriel Mercado · 48|Sergio Agüero · 90+3,42873,"Kazan Arena, Kazan",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Julio Bascuñán (4th) · Massimiliano Irrati (VAR),2018-06-30,4–3,Alireza Faghani,,Round of 16,Russia,2018
Uruguay,Portugal,2,0.6,,1,1.0,,Óscar Tabárez,Diego Godín,Fernando Santos,Cristiano Ronaldo,Edinson Cavani · 7|Edinson Cavani · 62,Pepe · 55,44287,"Olimpiyskiy Stadion Fisht, Sochi",César Arturo Ramos (Referee) · Marvin Torrentera (AR1) · Miguel Ángel Hernández (AR2) · Jair Marrufo (4th) · Mark Geiger (VAR),2018-06-30,2–1,César Arturo Ramos,,Round of 16,Russia,2018
Japan,Poland,0,0.7,,1,1.4,,Akira Nishino,Eiji Kawashima,Adam Nawałka,Robert Lewandowski,,Jan Bednarek · 59,42189,"Volgograd Arena, Volgograd",Janny Sikazwe (Referee) · Jerson dos Santos (AR1) · Zakhele Siwela (AR2) · Ricardo Montero (4th) · Daniele Orsato (VAR),2018-06-28,0–1,Janny Sikazwe,,Group stage,Russia,2018
Senegal,Colombia,0,0.5,,1,0.3,,Aliou Cissé,Cheikhou Kouyaté,José Pekerman,Radamel Falcao,,Yerry Mina · 74,41970,"Cosmos Arena, Samara",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Bamlak Tessema (4th) · Danny Makkelie (VAR),2018-06-28,0–1,Milorad Mažić,,Group stage,Russia,2018
England,Belgium,0,0.9,,1,1.3,,Gareth Southgate,Eric Dier,Roberto Martínez,Thibaut Courtois,,Adnan Januzaj · 51,33973,"Kaliningrad Stadium, Kaliningrad",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Mohammed Abdulla Hassan (4th) · Artur Soares Dias (VAR),2018-06-28,0–1,Damir Skomina,,Group stage,Russia,2018
Panama,Tunisia,1,0.6,,2,2.1,,Hernán Darío Gómez,Román Torres,Nabil Maâloul,Aymen Mathlouthi,Yassine Meriah (OG) · 33,Fakhreddine Ben Youssef · 51|Wahbi Khazri · 66,37168,"Mordovia Arena, Saransk",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Taleb Salem Al Marri (AR2) · Mehdi Abid Charef (4th) · Tiago Martins (VAR),2018-06-28,1–2,Nawaf Shukralla,,Group stage,Russia,2018
Korea Republic,Germany,2,1.7,,0,2.7,,Shin Taeyong,Son Heung-min,Joachim Löw,Manuel Neuer,Kim Young-gwon · 90+3|Son Heung-min · 90+6,,41835,"Kazan Arena, Kazan",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Julio Bascuñán (4th) · Danny Makkelie (VAR),2018-06-27,2–0,Mark Geiger,,Group stage,Russia,2018
Mexico,Sweden,0,1.4,,3,2.4,,Juan Carlos Osorio,Andrés Guardado,Janne Andersson,Robin Olsen,,Ludwig Augustinsson · 50|Andreas Granqvist (P) · 62|Edson Álvarez (OG) · 74,33061,"Stadion Central'nyj, Yekaterinburg",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Andrés Cunha (4th) · Mauro Vigliano (VAR),2018-06-27,0–3,Néstor Pitana,,Group stage,Russia,2018
Switzerland,Costa Rica,2,1.4,,2,1.5,,Vladimir Petković,Stephan Lichtsteiner,Oscar Ramírez,Bryan Ruiz,Blerim Džemaili · 31|Josip Drmić · 88,Kendall Waston · 56|Yann Sommer (OG) · 90+3,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · Norbert Hauata (4th) · Felix Zwayer (VAR),2018-06-27,2–2,Clément Turpin,,Group stage,Russia,2018
Serbia,Brazil,0,0.8,,2,1.4,,Mladen Krstajić,Aleksandar Kolarov,Tite,Miranda,,Paulinho · 36|Thiago Silva · 68,44190,"Otkrytie Arena, Moskva",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Nawaf Shukralla (4th) · Massimiliano Irrati (VAR),2018-06-27,0–2,Alireza Faghani,,Group stage,Russia,2018
Australia,Peru,0,0.9,,2,0.2,,Bert van Marwijk,Mile Jedinak,Ricardo Gareca,Paolo Guerrero,,André Carrillo · 18|Paolo Guerrero · 50,44073,"Olimpiyskiy Stadion Fisht, Sochi",Sergey Karasev (Referee) · Anton Averianov (AR1) · Tikhon Kalugin (AR2) · Ryūji Satō (4th) · Danny Makkelie (VAR),2018-06-26,0–2,Sergey Karasev,,Group stage,Russia,2018
Denmark,France,0,0.2,,0,0.4,,Åge Hareide,Simon Kjær,Didier Deschamps,Raphaël Varane,,,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Gianluca Rocchi (4th) · Mauro Vigliano (VAR),2018-06-26,0–0,Sandro Ricci,,Group stage,Russia,2018
Iceland,Croatia,1,2.1,,2,0.7,,Heimir Hallgrímsson,Aron Gunnarsson,Zlatko Dalić,Luka Modrić,Gylfi Sigurðsson (P) · 76,Milan Badelj · 53|Ivan Perišić · 90,43472,"Rostov Arena, Rostov-na-Donu",Antonio Matéu Lahoz (Referee) · Pau Cebrián Devis (AR1) · Roberto Díaz Pérez (AR2) · John Pitti (4th) · Paolo Valeri (VAR),2018-06-26,1–2,Antonio Matéu Lahoz,,Group stage,Russia,2018
Nigeria,Argentina,1,1.4,,2,0.9,,Gernot Rohr,John Obi Mikel,Jorge Sampaoli,Lionel Messi,Victor Moses (P) · 51,Lionel Messi · 14|Marcos Rojo · 86,64468,"Gazprom Arena, Sankt-Petersburg",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Björn Kuipers (4th) · Daniele Orsato (VAR),2018-06-26,1–2,Cüneyt Çakιr,,Group stage,Russia,2018
Saudi Arabia,Egypt,2,2.6,,1,0.8,,Juan Antonio Pizzi,Osama Hawsawi,Héctor Cúper,Essam El-Hadary,Salman Al-Faraj (P) · 45+6|Salem Al-Dawsari · 90+5,Mohamed Salah · 22,36823,"Volgograd Arena, Volgograd",Wilmar Roldán (Referee) · Alexander Guzmán (AR1) · Cristián de la Cruz (AR2) · Ricardo Montero (4th) · Artur Soares Dias (VAR),2018-06-25,2–1,Wilmar Roldán,,Group stage,Russia,2018
Uruguay,Russia,3,2.4,,0,0.1,,Óscar Tabárez,Diego Godín,Stanislav Cherchesov,Igor Akinfeev,Luis Suárez · 10|Denis Cheryshev (OG) · 23|Edinson Cavani · 90,Igor Smolnikov · 36,41970,"Cosmos Arena, Samara",Malang Diédhiou (Referee) · Djibril Camara (AR1) · El Hadji Malick Samba (AR2) · Bamlak Tessema (4th) · Clément Turpin (VAR),2018-06-25,3–0,Malang Diédhiou,,Group stage,Russia,2018
Spain,Morocco,2,2.9,,2,1.2,,Fernando Hierro,Sergio Ramos,Hervé Renard,M'barek Boussoufa,Isco · 19|Iago Aspas · 90+1,Khalid Boutaïb · 14|Youssef En-Nesyri · 81,33973,"Kaliningrad Stadium, Kaliningrad",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Jakhongir Saidov (AR2) · Mohammed Abdulla Hassan (4th) · Felix Zwayer (VAR),2018-06-25,2–2,Ravshan Irmatov,,Group stage,Russia,2018
IR Iran,Portugal,1,1.4,,1,1.3,,Carlos Queiroz,Ehsan Hajsafi,Fernando Santos,Cristiano Ronaldo,Karim Ansarifard (P) · 90+3,Ricardo Quaresma · 45,41685,"Mordovia Arena, Saransk",Enrique Cáceres (Referee) · Eduardo Cardozo (AR1) · Juan Zorrilla (AR2) · Mehdi Abid Charef (4th) · Massimiliano Irrati (VAR),2018-06-25,1–1,Enrique Cáceres,,Group stage,Russia,2018
England,Panama,6,2.8,,1,1.1,,Gareth Southgate,Harry Kane,Hernán Darío Gómez,Román Torres,John Stones · 8|Harry Kane (P) · 22|Jesse Lingard · 36|John Stones · 40|Harry Kane (P) · 45+1|Harry Kane · 62,Felipe Baloy · 78,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Gehad Grisha (Referee) · Redouane Achik (AR1) · Waleed Ahmed Ali (AR2) · Norbert Hauata (4th) · Danny Makkelie (VAR),2018-06-24,6–1,Gehad Grisha,,Group stage,Russia,2018
Japan,Senegal,2,0.9,,2,1.4,,Akira Nishino,Makoto Hasebe,Aliou Cissé,Sadio Mané,Takashi Inui · 34|Keisuke Honda · 78,Sadio Mané · 12|Moussa Wagué · 71,32572,"Stadion Central'nyj, Yekaterinburg",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Abdelrahman Al Jassim (4th) · Massimiliano Irrati (VAR),2018-06-24,2–2,Gianluca Rocchi,,Group stage,Russia,2018
Poland,Colombia,0,1.1,,3,2.1,,Adam Nawałka,Robert Lewandowski,José Pekerman,Radamel Falcao,,Yerry Mina · 40|Radamel Falcao · 70|Juan Cuadrado · 75,42873,"Kazan Arena, Kazan",César Arturo Ramos (Referee) · Marvin Torrentera (AR1) · Miguel Ángel Hernández (AR2) · Julio Bascuñán (4th) · Mauro Vigliano (VAR),2018-06-24,0–3,César Arturo Ramos,,Group stage,Russia,2018
Belgium,Tunisia,5,5.2,,2,1.1,,Roberto Martínez,Eden Hazard,Nabil Maâloul,Wahbi Khazri,Eden Hazard (P) · 6|Romelu Lukaku · 16|Romelu Lukaku · 45+3|Eden Hazard · 51|Michy Batshuayi · 90,Dylan Bronn · 18|Wahbi Khazri · 90+3,44190,"Otkrytie Arena, Moskva",Jair Marrufo (Referee) · Corey Rockwell (AR1) · Juan Zumba (AR2) · Andrés Cunha (4th) · Mark Geiger (VAR),2018-06-23,5–2,Jair Marrufo,,Group stage,Russia,2018
Korea Republic,Mexico,1,0.9,,2,1.9,,Shin Taeyong,Cho Hyun-woo,Juan Carlos Osorio,Guillermo Ochoa,Son Heung-min · 90+3,Carlos Vela (P) · 26|Javier Hernández · 66,43472,"Rostov Arena, Rostov-na-Donu",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · John Pitti (4th) · Daniele Orsato (VAR),2018-06-23,1–2,Milorad Mažić,,Group stage,Russia,2018
Germany,Sweden,2,1.4,,1,0.9,,Joachim Löw,Manuel Neuer,Janne Andersson,Andreas Granqvist,Marco Reus · 48|Jérôme Boateng · 82|Toni Kroos · 90+5,Ola Toivonen · 32,44287,"Olimpiyskiy Stadion Fisht, Sochi",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Ryūji Satō (4th) · Clément Turpin (VAR),2018-06-23,2–1,Szymon Marciniak,,Group stage,Russia,2018
Brazil,Costa Rica,2,2.6,,0,0.1,,Tite,Thiago Silva,Oscar Ramírez,Bryan Ruiz,Philippe Coutinho · 90+1|Neymar · 90+7,,64468,"Gazprom Arena, Sankt-Petersburg",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Damir Skomina (4th) · Danny Makkelie (VAR),2018-06-22,2–0,Björn Kuipers,,Group stage,Russia,2018
Nigeria,Iceland,2,0.9,,0,1.3,,Gernot Rohr,John Obi Mikel,Heimir Hallgrímsson,Aron Gunnarsson,Ahmed Musa · 49|Ahmed Musa · 75,,40904,"Volgograd Arena, Volgograd",Matt Conger (Referee) · Simon Lount (AR1) · Tevita Makasini (AR2) · Ricardo Montero (4th) · Massimiliano Irrati (VAR),2018-06-22,2–0,Matt Conger,,Group stage,Russia,2018
Serbia,Switzerland,1,1.5,,2,2.1,,Mladen Krstajić,Aleksandar Kolarov,Vladimir Petković,Stephan Lichtsteiner,Aleksandar Mitrović · 5,Granit Xhaka · 52|Xherdan Shaqiri · 90,33167,"Kaliningrad Stadium, Kaliningrad",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Nawaf Shukralla (4th) · Felix Zwayer (VAR),2018-06-22,1–2,Felix Brych,,Group stage,Russia,2018
Denmark,Australia,1,0.8,,1,1.3,,Åge Hareide,Simon Kjær,Bert van Marwijk,Mile Jedinak,Christian Eriksen · 7,Mile Jedinak (P) · 38,40727,"Cosmos Arena, Samara",Antonio Matéu Lahoz (Referee) · Pau Cebrián Devis (AR1) · Roberto Díaz Pérez (AR2) · Bamlak Tessema (4th) · Mark Geiger (VAR),2018-06-21,1–1,Antonio Matéu Lahoz,,Group stage,Russia,2018
France,Peru,1,2.0,,0,0.4,,Didier Deschamps,Hugo Lloris,Ricardo Gareca,Paolo Guerrero,Kylian Mbappé · 34,,32789,"Stadion Central'nyj, Yekaterinburg",Mohammed Abdulla Hassan (Referee) · Mohamed Ahmed Al Hammadi (AR1) · Hasan Mohamed Al Mahri (AR2) · Janny Sikazwe (4th) · Daniele Orsato (VAR),2018-06-21,1–0,Mohammed Abdulla Hassan,,Group stage,Russia,2018
Argentina,Croatia,0,1.3,,3,1.9,,Jorge Sampaoli,Lionel Messi,Zlatko Dalić,Luka Modrić,,Ante Rebić · 53|Luka Modrić · 80|Ivan Rakitić · 90+1,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Jakhongir Saidov (AR2) · Norbert Hauata (4th) · Felix Zwayer (VAR),2018-06-21,0–3,Ravshan Irmatov,,Group stage,Russia,2018
Portugal,Morocco,1,1.2,,0,0.9,,Fernando Santos,Cristiano Ronaldo,Hervé Renard,Medhi Benatia,Cristiano Ronaldo · 4,,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Sergey Karasev (4th) · Felix Zwayer (VAR),2018-06-20,1–0,Mark Geiger,,Group stage,Russia,2018
Uruguay,Saudi Arabia,1,1.7,,0,0.3,,Óscar Tabárez,Diego Godín,Juan Antonio Pizzi,Osama Hawsawi,Luis Suárez · 23,,42678,"Rostov Arena, Rostov-na-Donu",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · John Pitti (4th) · Szymon Marciniak (VAR),2018-06-20,1–0,Clément Turpin,,Group stage,Russia,2018
IR Iran,Spain,0,0.7,,1,1.9,,Carlos Queiroz,Ehsan Hajsafi,Fernando Hierro,Sergio Ramos,,Diego Costa · 54,42718,"Kazan Arena, Kazan",Andrés Cunha (Referee) · Nicolás Tarán (AR1) · Mauricio Espinosa (AR2) · Julio Bascuñán (4th) · Mauro Vigliano (VAR),2018-06-20,0–1,Andrés Cunha,,Group stage,Russia,2018
Colombia,Japan,1,1.0,,2,2.0,,José Pekerman,Radamel Falcao,Akira Nishino,Makoto Hasebe,Carlos Sánchez · 3|Juan Quintero · 39,Shinji Kagawa (P) · 6|Yuya Osako · 73,40842,"Mordovia Arena, Saransk",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Mehdi Abid Charef (4th) · Danny Makkelie (VAR),2018-06-19,1–2,Damir Skomina,,Group stage,Russia,2018
Poland,Senegal,1,0.8,,2,1.0,,Adam Nawałka,Robert Lewandowski,Aliou Cissé,Sadio Mané,Grzegorz Krychowiak · 86,Thiago Cionek (OG) · 38|M'Baye Niang · 61,44190,"Otkrytie Arena, Moskva",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Taleb Salem Al Marri (AR2) · Abdelrahman Al Jassim (4th) · Artur Soares Dias (VAR),2018-06-19,1–2,Nawaf Shukralla,,Group stage,Russia,2018
Russia,Egypt,3,1.2,,1,1.4,,Stanislav Cherchesov,Igor Akinfeev,Héctor Cúper,Ahmed Fathy,Ahmed Fathy (OG) · 47|Denis Cheryshev · 59|Artem Dzyuba · 62,Mohamed Salah (P) · 73,64468,"Gazprom Arena, Sankt-Petersburg",Enrique Cáceres (Referee) · Eduardo Cardozo (AR1) · Juan Zorrilla (AR2) · Cüneyt Çakιr (4th) · Massimiliano Irrati (VAR),2018-06-19,3–1,Enrique Cáceres,,Group stage,Russia,2018
Sweden,Korea Republic,1,2.3,,0,0.3,,Janne Andersson,Robin Olsen,Shin Taeyong,Ki Sung-yueng,Andreas Granqvist (P) · 65,,42300,"Stadion Nizhny Novgorod, Nizhny Novgorod",Joel Aguilar (Referee) · Juan Zumba (AR1) · Juan Carlos Mora (AR2) · Norbert Hauata (4th) · Mauro Vigliano (VAR),2018-06-18,1–0,Joel Aguilar,,Group stage,Russia,2018
Belgium,Panama,3,2.0,,0,0.5,,Roberto Martínez,Eden Hazard,Hernán Darío Gómez,Román Torres,Dries Mertens · 48|Romelu Lukaku · 69|Romelu Lukaku · 75,,43257,"Olimpiyskiy Stadion Fisht, Sochi",Janny Sikazwe (Referee) · Jerson dos Santos (AR1) · Zakhele Siwela (AR2) · Ryūji Satō (4th) · Bastian Dankert (VAR),2018-06-18,3–0,Janny Sikazwe,,Group stage,Russia,2018
Tunisia,England,1,1.0,,2,2.8,,Nabil Maâloul,Wahbi Khazri,Gareth Southgate,Harry Kane,Ferjani Sassi (P) · 35,Harry Kane · 11|Harry Kane · 90+1,41064,"Volgograd Arena, Volgograd",Wilmar Roldán (Referee) · Alexander Guzmán (AR1) · Cristián de la Cruz (AR2) · Ricardo Montero (4th) · Sandro Ricci (VAR),2018-06-18,1–2,Wilmar Roldán,,Group stage,Russia,2018
Costa Rica,Serbia,0,0.9,,1,0.9,,Oscar Ramírez,Bryan Ruiz,Mladen Krstajić,Aleksandar Kolarov,,Aleksandar Kolarov · 56,41432,"Cosmos Arena, Samara",Malang Diédhiou (Referee) · Djibril Camara (AR1) · El Hadji Malick Samba (AR2) · Bamlak Tessema (4th) · Clément Turpin (VAR),2018-06-17,0–1,Malang Diédhiou,,Group stage,Russia,2018
Germany,Mexico,0,1.4,,1,1.3,,Joachim Löw,Manuel Neuer,Juan Carlos Osorio,Andrés Guardado,,Hirving Lozano · 35,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Mohammed Abdulla Hassan (4th) · Massimiliano Irrati (VAR),2018-06-17,0–1,Alireza Faghani,,Group stage,Russia,2018
Brazil,Switzerland,1,2.2,,1,0.9,,Tite,Marcelo,Vladimir Petković,Stephan Lichtsteiner,Philippe Coutinho · 20,Steven Zuber · 50,43109,"Rostov Arena, Rostov-na-Donu",César Ramos (Referee) · Marvin Torrentera (AR1) · Miguel Ángel Hernández (AR2) · John Pitti (4th) · Paolo Valeri (VAR),2018-06-17,1–1,César Ramos,,Group stage,Russia,2018
France,Australia,2,1.3,,1,1.0,,Didier Deschamps,Hugo Lloris,Bert van Marwijk,Mile Jedinak,Antoine Griezmann (P) · 58|Aziz Behich (OG) · 80,Mile Jedinak (P) · 62,41279,"Kazan Arena, Kazan",Andrés Cunha (Referee) · Nicolás Tarán (AR1) · Mauricio Espinosa (AR2) · Julio Bascuñán (4th) · Mauro Vigliano (VAR),2018-06-16,2–1,Andrés Cunha,,Group stage,Russia,2018
Argentina,Iceland,1,1.9,,1,1.0,,Jorge Sampaoli,Lionel Messi,Heimir Hallgrímsson,Aron Gunnarsson,Sergio Agüero · 19,Alfreð Finnbogason · 23,44190,"Otkrytie Arena, Moskva",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Wilmar Roldán (4th) · Mark Geiger (VAR),2018-06-16,1–1,Szymon Marciniak,,Group stage,Russia,2018
Peru,Denmark,0,1.7,,1,1.0,,Ricardo Gareca,Alberto Rodríguez,Åge Hareide,Simon Kjær,,Yussuf Poulsen · 59,40502,"Mordovia Arena, Saransk",Bakary Papa Gassama (Referee) · Jean-Claude Birumushahu (AR1) · Abdelhak Etchiali (AR2) · Mehdi Abid Charef (4th) · Felix Zwayer (VAR),2018-06-16,0–1,Bakary Papa Gassama,,Group stage,Russia,2018
Croatia,Nigeria,2,1.5,,0,0.7,,Zlatko Dalić,Luka Modrić,Gernot Rohr,John Obi Mikel,Oghenekaro Etebo (OG) · 32|Luka Modrić (P) · 71,,31136,"Kaliningrad Stadium, Kaliningrad",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Antonio Matéu Lahoz (4th) · Daniele Orsato (VAR),2018-06-16,2–0,Sandro Ricci,,Group stage,Russia,2018
